	buyerid	publisherid	publisher	ppdrevenue	pdrevenue	rev_difference	rev_delta	offer_difference	offer_delta
43	534301	560724	RTS-WideOrbit	1451.344103999997	372.305196	-1079.04	-0.7434755858559641	6153027	0.203405051067733
38	534301	558346	Sortable	2140.3694860000064	1090.2703680000016	-1050.1	-0.4906158141706949	-10067104	-0.25160529492836997
35	534301	558511	RTS-sovrn	2610.759018999999	1854.3097339999924	-756.45	-0.28974305153975877	-68986643	-0.09324564844033549
48	534301	560092	Sortable2	889.5384009999997	143.2596619999999	-746.28	-0.8389505592575311	-34572	-0.01443630874458983
36	534301	560606	RTS-Sonobi	2324.0074059999993	1628.429317999999	-695.58	-0.29930114947318737	-69484675	-0.14571435408481878
56	534301	560210	RTS-MediaNet	437.12973900000026	0.0	-437.13	-1.0	-66986651	-1.0
46	534301	559952	AdThriveHB	1224.7308149999935	901.2839430000022	-323.45	-0.26409629613181	-3575630	-0.06392782673995098
41	534301	508738	Underdog Media	1810.2334000000012	1490.6792069999933	-319.55	-0.1765265147577145	-20039791	-0.14042999313490587
39	534301	560187	LKQD	1868.0065199999722	1613.2819879999947	-254.72	-0.1363616932129237	24608192	0.08765608832379111
64	534301	560374	BidMonitor 2	369.4726279999977	172.51995999999954	-196.95	-0.5330643005034716	-86128	-0.10937472220740661
40	534301	558889	CrunchMind	1859.4505070000002	1673.7446690000002	-185.71	-0.09987135301579719	-3681611	-0.039093770539472356
47	534301	557776	District M	1002.7006730000007	818.3432529999997	-184.36	-0.18386087190748393	-5744279	-0.034956362685245344
72	534301	558275	Wizzed Media	316.09982400000007	162.78744099999992	-153.31	-0.4850125541354307	-2646642	-0.33699592748934504
51	534301	559956	Monkey Broker	560.293916000001	422.02171199999975	-138.27	-0.2467851248272362	-456034	-0.02967585514915463
63	534301	560733	SNT Media	371.4846629999997	237.6470450000002	-133.84	-0.3602776408564669	-1079076	-0.20326623382861625
59	534301	558894	MonetizeMoreAP	424.26334400000025	291.3163659999996	-132.95	-0.31335956754256045	-6838337	-0.2326883372607338
66	534301	558886	The Blogger Network	352.9668669999994	244.2755000000005	-108.69	-0.3079364585231709	-5644086	-0.15206176609560315
82	534301	558900	Chegg, Inc.	246.78480700000003	148.000843	-98.78	-0.4002838148784419	-12675611	-0.2823910415220248
58	534301	560528	Playwire Media	428.48508199999986	340.4746099999996	-88.01	-0.2053991508623871	2748638	0.05449137880036725
42	534301	560602	RTS-Criteo	1691.1641570000002	1607.7335729999943	-83.43	-0.04933322625995429	3832356	0.02354016833035213
69	534301	560049	YellowHammer Media Group	320.94272900000027	241.034749	-79.91	-0.24897893854451583	-2596708	-0.08496742783508916
83	534301	560816	RTS-DistrictM	237.34366899999998	164.01203200000012	-73.33	-0.3089681612699763	-5618719	-0.17008179166865695
75	534301	560269	Ezoic.com	299.6478500000004	235.6023520000001	-64.05	-0.21373588363807786	-1389057	-0.055280675814944606
80	534301	560453	Sekindo	277.0879580000004	215.4730210000012	-61.61	-0.2223659860382641	-508693	-0.04209731075831566
65	534301	558257	BidMonitor	356.75802400000003	295.31398899999994	-61.44	-0.17222888026759586	-59492	-0.03783667241819025
54	534301	559903	Curse.com	528.5551349999998	473.9736139999982	-54.58	-0.1032655202564661	12034253	0.16411889731821258
84	534301	560313	Freestar	233.43393799999984	180.33438500000028	-53.1	-0.2274714356230395	-616796	-0.030216765053869034
76	534301	560962	Boredom Therapy	297.7838040000001	249.34385099999997	-48.44	-0.16266819198803742	-3500097	-0.1663633946032735
71	534301	560293	WazimoHB	316.29967999999997	273.430945	-42.87	-0.13553202140451096	-1818721	-0.22437099556925758
70	534301	560031	RTS-Switch	320.87287199999906	278.6911939999994	-42.18	-0.13145915931465768	-5023111	-0.09106564262777185
91	534301	558527	RTS-purch	154.21021899999988	113.58432200000004	-40.63	-0.2634449082780945	-2081761	-0.13459624798009712
94	534301	558794	LanistaConceptsLLC3	118.26082300000004	78.72919599999999	-39.53	-0.33427491875310256	-1510134	-0.32884052192594604
98	534301	560858	SNT Media 6	98.26471599999996	59.301103999999974	-38.96	-0.39651681281000195	-794826	-0.2740029109271461
86	534301	560709	Saavy Financial Advice	225.14545799999993	188.66116799999995	-36.48	-0.1620476394420535	666523	0.17843431367536033
78	534301	560979	Motiv31	283.6999699999999	249.67980599999999	-34.02	-0.11991599435135619	2227439	0.19915970631744737
97	534301	560950	Brulee Media	106.27058400000003	76.80090999999997	-29.47	-0.27730791429545587	-942307	-0.16164675702784204
74	534301	560613	Spine Media	307.29585399999996	277.954467	-29.34	-0.09548253456097701	1710200	0.16108299918799174
67	534301	560574	Taboola_VideoTag	352.95228599999916	324.20546099999984	-28.75	-0.08144677379989937	1277331	0.17023954907406086
61	534301	558604	Digikulture	390.13849199999987	366.92906399999987	-23.21	-0.0594902284084289	123090	0.006371901967441853
95	534301	560022	Ookla Speed Test	109.586208	86.78603199999999	-22.8	-0.20805698468916825	-249845	-0.025184172713357857
62	534301	559906	Hive Media	374.084931	352.17821899999996	-21.91	-0.058560797788457374	268844	0.01775933669164149
92	534301	560836	Froppit Inc.	149.27819100000008	142.13648499999994	-7.14	-0.04784158993459492	129079	0.032628731301782204
89	534301	560517	Meaww	158.04810400000005	151.58693599999998	-6.46	-0.04088102189444848	-573798	-0.04003650605259467
93	534301	560825	SNT Media 4	138.22400599999997	143.465832	5.24	0.03792268905880237	19826	0.006147980075657428
79	534301	560862	Ivemedia	283.3737649999999	295.72099900000006	12.35	0.0435722551803629	255836	0.058580759088814986
90	534301	560754	RTS-Sekindo	154.5616869999998	170.5159390000003	15.95	0.10322255346501556	8151569	0.2870932403259836
87	534301	561051	BrainJolt LLC-HB	210.86164300000004	232.67975800000008	21.82	0.10347123682423374	5016352	0.32823488242870485
88	534301	560156	BoldScreen Media	198.63265599999906	229.40377900000013	30.77	0.1549147235890619	2842431	0.06645127281648441
96	534301	560310	Adflare.com	108.73250999999999	143.1852280000001	34.45	0.31685756173567703	135297	0.018293674750721182
49	534301	560529	Pretio Interactive	634.7831770000008	669.7198139999992	34.94	0.05503711860340997	25824375	0.3270533683088596
68	534301	560810	MULTIPLY	335.4691189999999	377.27684500000004	41.81	0.1246246632912883	8551225	0.23025221822963132
81	534301	558881	AdRizer2	258.4470899999999	316.5036970000001	58.06	0.2246363346555778	538775	0.05182617839806199
77	534301	560742	Dashbid1	292.2876139999996	353.4915629999942	61.2	0.20939631400184697	30527968	0.332078053479286
37	534301	560998	eBay	2149.9836519999994	2214.16126	64.18	0.029850277205735905	-1595867	-0.011269701279088466
57	534301	560653	GiftConnect	433.48753499999765	509.37644499999965	75.89	0.17506595662549423	2513805	0.130655478280584
55	534301	560530	OMG Studios	489.8761989999998	570.5971219999997	80.72	0.16477820960638237	-120126	-0.006407774634267806
60	534301	560091	RTS-MobFox	401.43793700000003	483.2840989999999	81.85	0.2038824795973378	90061196	0.2619249621937743
85	534301	560711	RTS-TremorVideo	229.7347750000002	312.7054310000004	82.97	0.3611584532642047	26255587	0.1918035129114665
73	534301	561049	RTS-MillennialMedia	313.4640990000001	421.75369900000004	108.29	0.34546093267286704	115193133	0.42978126299424296
50	534301	560923	Rhebus	585.1296509999967	700.883941999999	115.75	0.1978267394280503	46714844	0.2488533821719382
53	534301	560007	RTS-ConvertMedia	535.5691309999988	696.684209999999	161.12	0.300829658907284	50133636	0.3364664998603796
52	534301	560911	RTS-Tappx	550.6314749999998	844.5187400000002	293.89	0.5337276896494166	243759188	0.6657558668545119
44	534301	560693	BaronsMedia_VideoTag	1314.217607999993	1634.8391090000043	320.62	0.243963784268528	113188268	0.4893537810857948
45	534301	560143	RockYou AP	1264.3165589999876	2283.621176000013	1019.3	0.8062099715013187	162503847	0.6149854665155304
115	535039	560862	Ivemedia	507.96602900000016	208.13689899999997	-299.83	-0.5902542943477035	-846727	-0.2778207239054698
118	535039	561049	RTS-MillennialMedia	147.36496599999998	95.33608099999998	-52.03	-0.35306142573941224	3259150	0.12500372999485818
116	535039	558889	CrunchMind	414.1803650000001	365.9347939999999	-48.25	-0.11648444754255842	-6041927	-0.181958716796688
117	535039	558346	Sortable	196.02058499999944	151.04176299999983	-44.98	-0.22945968659362861	-5428192	-0.37735111390414594
114	535039	508738	Underdog Media	549.3618769999998	522.1594630000004	-27.2	-0.04951638462528301	-13290277	-0.31117032043014875
123	535039	561036	Slowplay.tv	55.105491000000015	38.335285999999996	-16.77	-0.30432910941670066	-336505	-0.37256686451721477
120	535039	558886	The Blogger Network	101.77874499999996	88.24876899999975	-13.53	-0.13293518209524208	-5441527	-0.25698823654758385
130	535039	560927	Adsolut	27.82097999999999	16.613930999999997	-11.21	-0.4028272548271124	-175275	-0.2817242116463688
125	535039	561020	RSOE-HB	38.423602	27.614708	-10.81	-0.28130871228574567	-137501	-0.11582533161604223
137	535039	560950	Brulee Media	18.669104000000008	8.382765	-10.29	-0.5509819325019564	-162164	-0.10840093183998288
126	535039	560118	AdSparc2	34.09816200000001	23.976285000000004	-10.12	-0.29684523758201403	-208501	-0.12301241504956757
136	535039	558837	TheYouMP3.com	19.214788000000002	9.409189	-9.81	-0.5103152322055284	-159466	-0.15647313828404114
142	535039	558275	Wizzed Media	16.386429	7.133164000000002	-9.25	-0.5646907572113484	-1390872	-0.48264738583002864
134	535039	558223	imonomy AP	20.428845000000006	14.072154000000001	-6.36	-0.31116252534100697	113761	0.20681712407463967
135	535039	557723	H12 Media (UK)	19.676717999999994	13.450958000000009	-6.23	-0.3164023593772085	-73842	-0.08483968330746314
133	535039	560613	Spine Media	22.076442000000004	16.123024	-5.95	-0.269672893847659	-360511	-0.13692450733368833
148	535039	561043	VonVon	12.687600999999997	6.995026000000002	-5.69	-0.4486722903723089	-98116	-0.010466194530881066
150	535039	560721	Sortable_Quanki	11.182657999999998	6.457222999999999	-4.73	-0.4225681407765488	-12779	-0.2660794969496325
141	535039	560517	Meaww	16.564264000000005	12.406206	-4.16	-0.25102582281953517	-721619	-0.12206143066912294
131	535039	559931	WorldLifestyle.com	26.13746600000001	22.318052999999995	-3.82	-0.14612789931510628	-4305458	-0.31302587114448405
121	535039	560979	Motiv31	79.95560099999997	76.39181800000004	-3.56	-0.04457202441639994	-135152	-0.04835495410014605
145	535039	560962	Boredom Therapy	15.754956	12.453444000000003	-3.3	-0.20955386990607888	-1568670	-0.41504257131820277
144	535039	560313	Freestar	15.96132700000001	13.460880000000015	-2.5	-0.15665658626002665	-738842	-0.16455820815474542
124	535039	560049	YellowHammer Media Group	39.36318700000001	37.056474	-2.31	-0.05860076827620712	-1837099	-0.2692265700141142
129	535039	560310	Adflare.com	28.222612999999996	26.433786	-1.79	-0.06338275623167829	-178020	-0.11692987163462075
140	535039	560990	Audience Drive_HB	16.707824	14.964638000000003	-1.74	-0.10433351464559336	-294971	-0.16920547637171732
127	535039	560998	eBay	30.203190999999997	28.958341000000004	-1.24	-0.04121584371664545	-8728717	-0.23183515707029054
151	535039	560293	WazimoHB	10.935349999999998	10.41086	-0.52	-0.047962799544596056	-70018	-0.2729895588843056
128	535039	560530	OMG Studios	29.826308000000004	29.729117	-0.1	-0.003258566229518108	-1042759	-0.19592424716135412
152	535039	560274	Insticator 4	10.720210999999997	10.781341000000003	0.06	0.005702313135441615	-16890	-0.10685815513096293
149	535039	560374	BidMonitor 2	12.063042999999992	13.139393000000009	1.08	0.08922707147773727	-159174	-0.2778812631696557
132	535039	559903	Curse.com	25.22700299999995	26.368908	1.14	0.04526518667318719	365548	0.01711819038360316
138	535039	560537	StreamlynAPAC	18.545374000000024	20.554894000000015	2.01	0.10835694119730283	-265433	-0.41968876689456275
147	535039	560724	RTS-WideOrbit	13.956475000000015	17.31005699999999	3.35	0.24028861155843226	1594483	0.3000155983432264
146	535039	560453	Sekindo	14.128294999999966	21.559518999999927	7.43	0.5259816559606081	2388	0.0013300635010635496
